,H_beta_EL_value,H_beta_EL_ANR,O_3_5007_EL_value,O_3_5007_EL_ANR,Component_Sol,H_beta_SI,Mg_b_SI,Fe_5015_SI,R,SNR,K_index
54,0.0,-0.0,1.792543220839324e-17,0.5449788427445293,"[array([-25.37993941,  20.        ]), array([80.12354586, 52.47878017])]",0.08036428967997299,0.0667427554646283,-0.12325471088685841,0.008284881326852105,1.5047153320959312,[54]
55,1.3396692006184873e-17,0.9905527242330274,0.0,-0.0,"[array([19.61323665, 20.        ]), array([-86.14607301,  20.        ])]",0.06090199724972548,0.010529313106271709,-0.1435711890453637,0.008321194300531243,1.3720238608341593,[55]
56,1.5307070255838213e-17,1.0919869016091193,1.886299081342389e-17,0.9994430073803573,"[array([-34.72150212,  20.        ]), array([-234.72150212,   20.        ])]",0.08016754039471517,0.049872097265351925,-0.14143631429828804,0.00836048603534434,1.5164403212431095,[56]
57,1.490639386464661e-17,1.0750148164393898,0.0,0.0,"[array([-52.81262279,  20.        ]), array([-188.5973722,   20.       ])]",0.07731421638717269,0.057597212750790966,-0.159014847806476,0.00840271474465532,1.6706671424165143,[57]
58,1.3107505619902587e-17,0.9552494759040254,2.3351765064673537e-17,1.2734209861919792,"[array([-17.03397364,  20.        ]), array([18.12467448, 20.        ])]",0.044433744084095075,0.04098509853827568,-0.10815815079446824,0.008447836384874544,1.5937343864928204,[58]
59,3.696763567785421e-17,2.319276326575686,3.3220286319540595e-17,1.5322068851715112,"[array([-78.02547589,  63.971421  ]), array([ 2.65455544, 27.83110745])]",0.036508553399102195,0.05991493254154182,-0.12863591787775663,0.008495804862634647,1.6063043986385692,[59]
60,2.935293085287629e-17,2.1228184944956134,1.9458527615162697e-17,1.0443592828570778,"[array([13.85570465, 23.16930526]), array([-21.91369156,  20.        ])]",0.09999571466298872,0.08509846042699405,-0.09906253791762427,0.008546572243611756,1.5842517821273863,[60]
61,5.086748352679806e-17,3.5842179981677464,1.2678634231765003e-17,0.6699360146779294,"[array([123.97422258, 300.        ]), array([-26.31180611,  20.        ])]",0.05962728557000788,0.05590598889311773,-0.10390045187583571,0.00860008896112293,1.5777026129708105,[61]
62,2.802292584931814e-17,1.9941908430400912,1.7423936166113534e-17,0.92838106991338,"[array([128.57443797,  26.70445538]), array([-36.50560224,  20.        ])]",0.07144378232107824,0.05558607388816898,-0.14880599655145785,0.008656304022848097,1.566970000153455,[62]
63,6.3578833331104e-17,4.5008446262571855,3.146561057981254e-17,1.6523867861225852,"[array([49.4461668, 20.       ]), array([-21.7401947,  20.       ])]",0.023877423670119958,0.039412866012469176,-0.15467709026173762,0.008715165213896856,1.5191351653067136,[63]
64,1.2353823385544004e-16,8.721835386672135,2.0683084166079154e-17,1.082396425920265,"[array([15.89978338, 20.        ]), array([-28.40275253,  20.        ])]",0.021113331224065526,0.030481482730536868,-0.15826132667300766,0.008776619294924924,1.4987623623215207,[64]
65,1.631828327776931e-16,12.442860665406688,2.326194146401911e-17,1.3054611585989475,"[array([-204.5813928 ,   21.63735055]), array([-29.4668907,  20.       ])]",0.1314159639087112,0.042819426979054415,-0.15572835600235657,0.008840612193914368,1.5014258300212662,[65]
66,1.3338037370866055e-16,9.872751296015032,1.944307279909589e-17,1.0618928309976687,"[array([11.16831552, 85.57538309]), array([-28.99467107,  20.        ])]",0.02084019328913999,0.049595444060069896,-0.16941011568558623,0.008907089190702003,1.1427559343658917,[66]
67,7.546462116518255e-17,5.739911004259696,1.6133813127149517e-17,0.9107175428358204,"[array([-106.09579538,  205.86059973]), array([-21.91967299,  20.        ])]",-0.0422279373166072,0.008838462026823271,-0.1850220137576707,0.00897599509313982,1.351065609453167,[67]
68,0.0,-0.0,1.5879695981988554e-17,0.823334412745214,"[array([-1783.59589747,   300.        ]), array([-1583.59589747,    20.        ])]",-0.10597592540359933,-0.03698309448600023,-0.1798963815062002,0.009047274404239128,0.8892085121287917,[68]
69,5.752776604023177e-17,4.184861692202235,2.24399839347541e-17,1.2219119213730418,"[array([-11.56897254,  20.44932582]), array([-38.00917532,  20.        ])]",0.011869514270931504,0.03278111320198543,-0.10937414752150722,0.009120871479849106,1.0247018183052128,[69]
70,5.83610272614597e-17,4.409161554051337,3.0290108612229585e-17,1.7001295133033354,"[array([44.68461542, 20.        ]), array([-22.35716001,  20.        ])]",0.058018380444480086,0.006804379966050288,-0.14582739897950023,0.00919673067623837,1.1298447077012193,[70]
71,5.000244399890486e-17,3.5806106313181467,2.4351104108186795e-17,1.2844540980141816,"[array([11.38836467, 20.        ]), array([-18.34019273,  20.        ])]",0.08883892536000182,0.005635185364772289,-0.20480165464541294,0.009274796487428452,0.9972731950908618,[71]
72,4.9207159972077377e-17,3.499857237579265,7.243565985195525e-19,0.03807609015093574,"[array([-127.22169919,   20.        ]), array([-20.23772953,  20.        ])]",0.21232672328906266,0.04675915216409011,-0.16867676279960836,0.009355013672247135,1.1001236694508818,[72]
73,4.449653012132892e-19,0.012759751197541733,3.730208598651125e-17,0.7829277918526918,"[array([ 0.74556406, 20.        ]), array([134.48149705,  71.0718877 ])]",0.19216867747229277,0.08621038162566126,-0.18468207346465293,0.009437327370907972,0.8345246653621786,[73]
74,2.305714876389538e-17,1.257855235283024,1.1782227771316016e-17,0.48143434953452185,"[array([-0.85280116, 40.03927125]), array([126.42196641,  20.        ])]",0.17021533678270515,0.06843610984543165,-0.11319394275212799,0.009521683211281594,0.4178555679223568,[74]
75,6.532014658874838e-17,0.9789710687960821,0.0,-0.0,"[array([-237.90093899,   20.        ]), array([-325.52487732,  100.        ])]",0.1720755328417125,0.13477574734019582,0.2066121960793257,0.009608027405203346,0.4052295776705403,[75]
76,3.4515808092319275e-17,1.5313053737650482,0.0,0.0,"[array([-121.31189347,   20.        ]), array([-210.93200931,   20.        ])]",0.46208725454288246,0.04878104508333227,-0.27169199732395144,0.009696306834823228,0.44405728655382387,[76]
77,2.1206526660188375e-17,1.005835791034991,8.453253818808118e-18,0.29721447679636354,"[array([ 95.28948582, 260.83596386]), array([-93.62942373,  20.        ])]",1.2697810529550657,0.4249783043611568,0.04149730997704038,0.00978646912956965,0.2653596450166441,[77]
78,0.0,-0.0,3.887371855664957e-17,0.739699870604306,"[array([-80.17005629,  20.        ]), array([119.82994371,  58.39719133])]",0.1502688862079121,0.12193562720526384,0.6331483782259616,0.009878462733923638,0.262912943827352,[78]
79,1.6777602005167382e-17,0.9834587630002269,4.4513834496984265e-18,0.19442523212091067,"[array([25.03148488, 20.        ]), array([74.26719946, 20.        ])]",0.030680181532672334,0.13212002344926643,0.1590003717657234,0.009972236966691094,0.5665067092662396,[79]
80,3.059789646960621e-17,1.2663427208413935,0.0,0.0,"[array([ 0., 40.]), array([200.        ,  43.77992227])]",-0.02713061894095059,-0.08904359439982437,-0.23000252064502094,0.01006774207194639,0.42572015671415414,[80]
81,0.0,0.0,3.176144388463866e-17,0.6289428319897358,"[array([ 0., 40.]), array([178.7998082 ,  73.76211447])]",0.06129011564535758,0.0012346338623807972,-0.16255189031074874,0.010164929262278665,0.37957013771609033,[81]
82,2.2050461317535155e-17,1.2287430112776025,1.5973118862051735e-17,0.662610632879416,"[array([ 0., 40.]), array([146.10747899,  20.        ])]",0.08487451098580963,0.08305938432526654,-0.02805269883702728,0.01026375075495371,0.6051232220762481,[82]
83,3.450617581153955e-17,2.1770873797791563,3.835647240314505e-18,0.17822045134097023,"[array([-47.26579122, 300.        ]), array([90.35489799, 20.        ])]",0.4083675262030518,0.13731654712052663,-0.031395214000829466,0.01036415980124104,0.7953511075060691,[83]
84,3.450617581153955e-17,2.1770873797791563,3.835647240314505e-18,0.17822045134097023,"[array([-47.26579122, 300.        ]), array([90.35489799, 20.        ])]",0.4083675262030518,0.13731654712052663,-0.031395214000829466,0.010466110709520597,0.7953511075060691,[84]
85,3.450617581153955e-17,2.1770873797791563,3.835647240314505e-18,0.17822045134097023,"[array([-47.26579122, 300.        ]), array([90.35489799, 20.        ])]",0.4083675262030518,0.13731654712052663,-0.031395214000829466,0.010569558862838923,0.7953511075060691,[85]
86,3.450617581153955e-17,2.1770873797791563,3.835647240314505e-18,0.17822045134097023,"[array([-47.26579122, 300.        ]), array([90.35489799, 20.        ])]",0.4083675262030518,0.13731654712052663,-0.031395214000829466,0.010674460731076009,0.7953511075060691,[86]
87,1.646854941777133e-17,0.9152875534832309,0.0,-0.0,"[array([ 0., 40.]), array([-188.62211072,   34.02051903])]",-0.13970771832910822,0.05353935585206389,-0.06487067167727092,0.010128281844083127,0.8284118106915539,[87]
88,1.5578281792027878e-17,1.0338710415430679,0.0,-0.0,"[array([-7.23145871, 21.31527817]), array([-138.30186387,   20.        ])]",-0.21274416468799628,-0.05309849152802025,-0.10475013342148405,0.010017662190816725,0.45682063986553956,[88]
89,2.0556269154854968e-17,1.239252251690699,5.614453600720675e-18,0.249606814042076,"[array([ 0., 40.]), array([187.1998267,  20.       ])]",-0.09362707942967918,-0.011177591971833128,-0.0832362094634044,0.00990845369358262,0.42141787886432713,[89]
90,2.0308968862529506e-17,1.2272192618624964,0.0,-0.0,"[array([-112.80235422,   20.        ]), array([-193.9644343,   20.       ])]",-0.06893290826565218,0.00020570713436411233,0.010306338875400549,0.009800703525747698,0.5192242415104446,[90]
91,2.986372222895905e-17,1.8455218018135027,0.0,-0.0,"[array([-266.51776397,  300.        ]), array([-197.19330368,   20.        ])]",-0.34211958989907326,0.2170246781210784,0.29575367029395716,0.009694460313711626,0.47765353768525626,[91]
92,2.8619877526604107e-17,1.8476540612360772,5.254424876890467e-18,0.2514625341546177,"[array([-29.96606582,  20.        ]), array([11.1568927, 20.       ])]",-0.141954716258803,-0.047865989911480056,0.16623188330406907,0.009589774143381899,0.42982002394236607,[92]
93,4.624006258590943e-17,2.2326268884516534,1.0748430259540493e-17,0.37995271732347835,"[array([ -7.74055895, 300.        ]), array([46.69387567, 48.84332898])]",-0.1657281950625391,-0.0025836930874705913,0.1485593323313819,0.009486696561038753,0.7895010391379853,[93]
94,4.0506768699014515e-17,2.1041810147492743,5.2047074770658775e-18,0.19814115122873716,"[array([39.5995584, 20.       ]), array([99.17348586, 53.59990995])]",-0.13747045548810247,-0.026373498220849764,0.057378955411846795,0.00938528056768375,1.325404018957225,[94]
95,2.782728709962424e-17,2.5336328413232994,1.9493282096176986e-19,0.013073547471991857,"[array([-33.3556302,  20.       ]), array([-193.38807671,   23.60620731])]",-0.07349439889351653,0.08839522894237935,0.10570637833372011,0.009285580606502425,1.4322411441112666,[95]
96,1.7981020373889334e-17,1.7651100718473092,7.880348168341533e-18,0.57473714566838,"[array([-75.80058769,  20.        ]), array([-87.60829673,  20.        ])]",-0.05156253837210784,0.07916382182919635,0.0006793182650620763,0.009187652542299496,1.3415456699802037,[96]
97,0.0,0.0,2.0952791514375266e-17,0.7684617949370335,"[array([ 5.49222867, 55.40793669]), array([-114.76373398,   59.30185431])]",-0.026611634234395314,0.07812439158300644,-0.0004487485675318622,0.009091553632320296,1.227299442659148,[97]
98,1.029322934848099e-17,1.0301427393776361,3.788260608208284e-18,0.28273983450746937,"[array([-48.65089589,  20.        ]), array([-136.34102494,   20.        ])]",-0.08126918118697118,-0.030407994421320823,0.019470199533269072,0.008997342487282534,1.0942810351459398,[98]
99,0.0,0.0,1.1828163217708336e-17,0.4666762201942101,"[array([-42.79496337,  20.        ]), array([157.20503663,  52.88081807])]",-0.09134971998856155,-0.0033345669845737053,0.027747129445284416,0.008905079022111304,1.3318442490514797,[99]
100,2.0734787744261197e-17,1.985394822140788,0.0,-0.0,"[array([-27.89409699,  20.        ]), array([-72.13270923,  20.        ])]",-0.025193186277810364,0.028568511339942315,-0.03446507420269457,0.008814824395287019,1.1927680325275514,[100]
101,1.7318941172808047e-17,0.7502236157680511,1.1981399876963483e-17,0.37962838029182955,"[array([-23.40571858,  20.        ]), array([176.59428142,  68.17416259])]",-0.14597452437972344,0.047554132580631146,0.06387377832640918,0.008726640935793487,1.4893169367668306,[101]
102,1.6685092732265462e-17,1.5556538784898153,1.4684273364135773e-18,0.10274174423829874,"[array([17.36725719, 20.        ]), array([92.97846298, 20.        ])]",-0.09033428206977731,0.04108578893603358,0.05378873662128947,0.008640592057103083,1.4295812654079338,[102]
103,1.737188185475068e-17,1.7297414691953552,0.0,-0.0,"[array([-18.91159592,  49.6242696 ]), array([21.3766754, 20.       ])]",-0.10586887774062548,0.019607217431888854,0.06947233684845808,0.008556742157232775,1.5484025596732864,[103]
104,0.0,0.0,1.7039839193317167e-17,1.2082170575238491,"[array([88.51512711, 20.        ]), array([198.16864512,  20.        ])]",-0.10321449695036974,-0.00817943289264077,0.05835136885921228,0.008475156503938456,1.4462892121483328,[104]
105,0.0,-0.0,8.988565381305986e-18,0.6237748376498659,"[array([30.04425869, 20.        ]), array([82.9850339, 20.       ])]",-0.11867598224789441,-0.01489820331447929,0.043326425253257216,0.00839590110468797,1.5012248573629723,[105]
106,0.0,-0.0,2.5687060331801452e-17,1.907351772314192,"[array([41.74798317, 63.98689609]), array([87.83513791, 20.        ])]",-0.13455718399523228,0.004746520147782759,-0.03307141476167525,0.008319042560666685,1.4527762006845428,[106]
107,0.0,-0.0,9.80591643123434e-18,0.3560610101923659,"[array([10.22596062, 38.67801089]), array([25.7437237 , 63.17527748])]",-0.12000356141549468,0.04630150779660804,0.03364291563175422,0.008244647904274675,1.662463966496325,[107]
