i,j,k_index,velocity,sigma,SNR,R,Hbeta_flux,Hbeta_SNR,[OIII]5007_flux,[OIII]5007_SNR,Hbeta_index,Fe5015_index,Mgb_index
4,11,359,-33.81616539085625,20.384211561919127,1.8506561945770206,0.007624095529966936,13.511994805056899,1.7816350806074202,3.6642581447678118,0.36099723509163867,5.415057421752316,-2.6424936356076216,2.5875443097404043
4,12,360,6.395632898186799,10.74278244170993,1.952597518022466,0.007513246643112851,15.94054610249726,1.4590386786920624,11.410435728225632,0.7714524391336205,3.304868925221272,3.1086419987541767,3.619851002335344
4,13,361,-4.6900804480730605,7.186268241004212,1.8531285467814953,0.007404279422303199,24.192215286109807,2.660103170307419,9.427449903963483,0.7657110511318751,4.811874500067797,0.4378363308599069,5.644332452315286
4,14,362,26.257338816275738,40.644360814559946,1.9531425043641137,0.007297278162414479,24.928383731410275,3.2906493342211522,3.6938527110646073,0.362349552642574,2.3652488880686517,-4.398608820769585,-0.11280991832109466
4,15,363,50.950656245761635,26.551360361003137,1.7855921201537055,0.007192330607546823,29.573681453868844,3.584923948701776,0.0,0.0,0.5131268062121235,-4.524037030742628,-0.24712563556565087
4,16,364,40.64971047276894,27.426617466139213,1.8236410597445984,0.007089527962420505,36.99964110763576,2.5382906900329725,4.8884218087961395,0.24575510931519326,4.178430530467674,2.3476782973700967,-0.29500972713980717
4,17,365,34.63674349819679,23.27466556397264,1.9557787960865867,0.0069889648778931265,33.54957032446214,4.489279236327841,13.283525149778825,1.3264336713613596,5.747295324314592,-1.5664921910190135,1.6251871547737289
4,18,366,14.510880606902193,7.533904124731132,2.021845079376029,0.006890739406730229,23.334352170148133,3.0097501989831916,8.471942690046133,0.8123343412640527,2.0631600838195743,5.931149447217768,2.321841754082702
4,19,367,-10.722032305392641,4.372310699754688,2.2337342570992647,0.00679495292489533,40.65856200662488,5.399736730017677,8.380882202910088,0.8206709320851591,1.180753272536851,3.7901787981175517,3.376365232676422
4,20,368,8.316672048311094,10.208777652565365,2.2562718820775136,0.006701710013453013,24.533961117502077,2.3412105701189585,8.374133182102229,0.5910516680766094,2.1694245836244654,-0.26319703261110194,2.7205309520547623
4,21,369,43.69710374310802,-8.64324474607509,2.3554726016536813,0.0066111182964823136,25.971933494248358,3.3520329498127124,5.590648211832176,0.5361961133590424,2.786676107736576,-1.7683327910268947,-0.27457230899117135
4,22,370,9.218224711979763,-15.526238743739107,2.3252168591529374,0.006523288229746303,40.834230310770764,5.122517538309884,7.830966954040679,0.7276523990252215,6.430283631674468,-0.9525744644534133,3.1410266318981277
4,23,371,48.09760790453519,-27.93965720260988,2.4362367678337895,0.0064383328354171605,59.24386788483914,2.485601080351811,23.647565657666785,0.72514652286235,6.769796464880469,1.263788240822854,2.389168324001737
4,24,372,-0.5814122134874783,-1.880888398874629,2.7101834435509766,0.006356367377965888,41.56612933103463,5.144295530084758,12.60208757199323,1.161297888244676,3.163756780856712,1.5434831574224108,2.070182123045172
4,25,373,18.67330649853874,-2.455573599772084,2.8125353528252703,0.006277508977321449,59.076143104448875,5.691738334165654,10.040654050420978,0.714232916099019,5.627287979954911,1.0577377006698465,2.8666259062623176
4,26,374,18.654343435446243,5.7696424263675326,2.9613630946265577,0.006201876155648938,61.88355469420671,6.376249103511628,13.137247064814165,0.9959725319802928,5.466861555760658,2.9265867034073985,0.2975702159736351
